제목,링크
"Anthropic’s latest feud with the Trump admin may actually help it, sales data suggests",https://techcrunch.com/2026/06/16/anthropics-latest-feud-with-the-trump-admin-may-actually-help-it-sales-data-suggests/
"SpaceX valuation balloons to $2.6T, briefly passes Amazon",https://techcrunch.com/2026/06/16/spacex-valuation-balloons-to-2-6t-briefly-passes-amazon/
Android 17 launches with new multitasking tools as Google expands Gemini features,https://techcrunch.com/2026/06/16/android-17-launches-with-new-multitasking-tools-as-google-expands-gemini-features/
"Sixty percent of US consumers say ‘AI’ in brand messaging is a turnoff, survey finds",https://techcrunch.com/2026/06/16/sixty-percent-of-u-s-consumers-say-ai-in-brand-messaging-is-a-turnoff-survey-finds/
SpaceX is public: Everything you need to know post-IPO,https://techcrunch.com/2026/06/16/spacex-is-public-everything-you-need-to-know-post-ipo/
"DOJ claims xAI’s unpermitted gas turbines are a matter of ‘national, economic, and energy security’",https://techcrunch.com/2026/06/16/doj-claims-xais-unpermitted-gas-turbines-are-a-matter-of-national-economic-and-energy-security/
Plaud says its software business topped $100M in ARR after shipping over 2M AI notetakers,https://techcrunch.com/2026/06/16/plaud-says-its-software-business-topped-100m-in-arr-after-shipping-over-2m-ai-notetakers/
Robinhood’s note on 10% layoffs shows blaming AI isn’t cutting it,https://techcrunch.com/2026/06/16/robinhoods-note-on-10-layoffs-shows-blaming-ai-isnt-cutting-it/
Probably raises $9M to build a more reliable kind of AI,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/
"SpaceX to acquire Cursor for $60B in stock, days after blockbuster IPO",https://techcrunch.com/2026/06/16/spacex-to-acquire-cursor-for-60b-in-stock-days-after-blockbuster-ipo/
